city,state_abbr,zip,status,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,ev_connector_types
Beverly Hills,CA,90210,E,Public,ChargePoint Network,34.0694251,-118.4044671,45298,,,,NEMA520 J1772
San Jose,CA,95129,E,Public,ChargePoint Network,37.3000851,-122.0062201,61380,,,,J1772
Portland,OR,97210,E,Public,ChargePoint Network,45.5238547,-122.69492,74705,,,,J1772
Springfield,MO,65802,E,Public,Tesla,37.2129649,-93.37103,74747,P,,,TESLA
Huntington Beach,CA,92649,E,Public - Card key at all times,eVgo Network,33.7170105,-118.0520172,69384,,,,CHADEMO J1772COMBO
White Marsh,MD,21162,E,Public,ChargePoint Network,39.379941,-76.428647,75294,,,,J1772COMBO CHADEMO
Wausau,WI,54401,E,Public,Tesla,44.95031,-89.664981,71298,P,,,TESLA
Potomac,MD,20854,E,Public - Card key at all times,SemaCharge Network,39.06018628,-77.15870193,71475,,,,J1772
Point Reyes Station,CA,94956,E,Public,,38.040933,-122.800044,62978,FG,16,Department of the Interior,J1772
Queenstown,MD,21658,E,Public - Card key at all times,eVgo Network,38.98236084,-76.1583252,69337,,,,CHADEMO J1772
Independence,OR,97351,E,Public,ChargePoint Network,44.8652316,-123.1833087,67164,,,,J1772
Delhi,NY,13753,E,Public,ChargePoint Network,42.2736179,-74.9178812,73247,,,,J1772
Miami,FL,33131,E,Public,Blink Network,25.763679,-80.189569,61162,,,,J1772
Newport Beach,CA,92660,E,Public,,33.6158612,-117.8711879,7190,P,,,
Avon,CO,81620,E,Public,SemaCharge Network,39.6414316,-106.5204009,71156,,,,J1772
Riverside,CA,92501,E,Public,ChargePoint Network,33.9845089,-117.3716379,61108,,,,J1772
San Antonio,TX,78201,E,Public,ChargePoint Network,29.49388,-98.5529171,73921,,,,J1772
Braintree,MA,2184,E,Public - Card key at all times,eVgo Network,42.22095108,-71.02391052,69475,,,,CHADEMO
Tucson,AZ,85743,E,Public,Blink Network,32.354899,-111.087796,45287,,,,J1772
Tucson,AZ,85742,E,Public,Blink Network,32.357473,-111.029985,70520,,,,J1772
Jasper,AL,35501,E,Private,,33.8487216,-87.2853999,68132,T,,,J1772
Corvallis,OR,97333,E,Public,Blink Network,44.566857,-123.312914,46430,,,,J1772
Fort Lauderdale,FL,33301,E,Public,ChargePoint Network,26.1202393,-80.1443329,40976,,,,NEMA520 J1772
Dundee,OR,97115,E,Public,SemaCharge Network,45.2471771,-123.0480541,53574,,,,J1772
Nashville,TN,37206,E,Public,Blink Network,36.17203,-86.76222,49215,,,,J1772
Clive,IA,50325,E,Public,,41.6073949,-93.735915,40996,P,,,J1772
Indianapolis,IN,46203,E,Public,,39.732171,-86.140045,48852,T,,,J1772
Eugene,OR,97401,E,Public,Blink Network,44.049484,-123.095913,46438,,,,J1772
Charlevoix,MI,49720,E,Public - Credit card at all times,,45.3170474,-85.2589168,52924,LG,,,J1772
Cisco Grove,CA,95728,E,Public,Blink Network,39.30958,-120.54433,67014,,,,J1772
Corte Madera,CA,94925,E,Public - Card key at all times,eVgo Network,37.92809296,-122.5148621,69349,,,,CHADEMO J1772COMBO
Austin,TX,78753,E,Public,ChargePoint Network,30.3991227,-97.6794893,41769,,,,NEMA520 J1772
New York,NY,10014,E,Public,ChargePoint Network,40.7375585,-74.0097582,53449,,,,J1772
Chestnut Hill,MA,2467,E,Public - Card key at all times,eVgo Network,42.32208252,-71.17658234,69588,,,,CHADEMO
Minneapolis,MN,55401,E,Public,ChargePoint Network,44.9836162,-93.2785986,61780,,,,J1772
Cary,NC,27513,E,Private,GE WattStation,35.8258283,-78.7979763,73081,,,,J1772
Los Angeles,CA,90015,E,Public,ChargePoint Network,34.0450048,-118.2686344,72434,,,,J1772
Cascade Locks,OR,97014,E,Public,AeroVironment Network,45.670715,-121.888232,73425,,,,CHADEMO J1772
Wolfeboro,NH,3894,E,Public - Call ahead,Tesla,43.5848097,-71.2168959,73799,P,,,TESLA J1772
Olathe,KS,66061,E,Public,ChargePoint Network,38.9147339,-94.7995987,50675,,,,J1772
Palm Springs,CA,92262,E,Public,Tesla,33.8457902,-116.5444318,70373,P,,,TESLA
Honolulu,HI,96813,E,Public - Call ahead,,21.299654,-157.857132,35473,P,,,
Provincetown,MA,2657,E,Public,Tesla,42.0528707,-70.1849884,72141,P,,,TESLA
Atlanta,GA,30318,E,Public,ChargePoint Network,33.7804854,-84.3984458,66227,,,,J1772
Grapevine,TX,76051,E,Private,,32.9277067,-97.094121,48212,P,,,J1772
Palm Springs,CA,92262,E,Public,,33.81996,-116.5212451,52525,LG,,,J1772
Westwood,NJ,7677,E,Public,ChargePoint Network,41.0349408,-74.0729687,64326,,,,J1772 J1772COMBO
New Castle,DE,19720,E,Public - Call ahead,,39.6637925,-75.6052654,46556,P,,,J1772
Stone Harbor,NJ,8247,E,Public,,39.054155,-74.761398,62639,P,,,J1772
Wood River,IL,62095,E,Private,,38.8586473,-90.0668932,47226,P,,,J1772
Waukesha,WI,53186,E,Private,GE WattStation,43.0495081,-88.1864252,72983,,,,J1772
Glen Burnie,MD,21061,E,Public - Card key at all times,SemaCharge Network,39.1938043,-76.6135573,71572,,,,J1772
Broken Arrow,OK,74012,E,Public - Call ahead,,36.071228,-95.800458,49684,P,,,J1772
Tucson,AZ,85748,E,Public,ChargePoint Network,32.2361565,-110.7817917,36343,,,,NEMA520 J1772
Somers,NY,10505,E,Public - Card key at all times,eVgo Network,41.34333801,-73.75728607,72053,,,,CHADEMO
Fairfax,VA,22030,E,Private,,38.8530341,-77.3244478,48262,P,,,J1772
Torrance,CA,90501,P,PLANNED - not yet accessible (Public),,33.824945,-118.328495,70580,LG,,,CHADEMO J1772
Portland,OR,97230,E,Public,Blink Network,45.557884,-122.497748,44897,,,,J1772
San Francisco,CA,94103,E,Public,ChargePoint Network,37.770606,-122.402026,67323,,,,NEMA520 J1772
Mountain View,CA,94043,E,Public,ChargePoint Network,37.4298449,-122.0962993,62888,,,,J1772
Tahoe Vista,CA,96148,E,Public - Call ahead,,39.2396769,-120.0477726,52098,P,,,J1772
New Britain,CT,6053,E,Public,,41.693068,-72.767971,63173,SG,,,J1772 CHADEMO J1772COMBO
Kailua-Kona,HI,96740,E,Public,Blink Network,19.645467,-155.990287,51262,,,,J1772
San Diego,CA,92123,E,Private,GE WattStation,32.822686,-117.143055,72760,,,,J1772
San Diego,CA,92109,E,Public,Blink Network,32.792266,-117.208468,71083,,,,J1772
Madison,WI,53706,E,Public,ChargePoint Network,43.0741367,-89.4086354,62460,,,,J1772
Galena,IL,61036,E,Public,Tesla,42.333936,-90.396753,71150,P,,,TESLA
Fort Lauderdale,FL,33316,E,Public,ChargePoint Network,26.0905025,-80.1407651,68793,,,,J1772COMBO
Asheville,NC,28804,E,Public,,35.630596,-82.552083,66409,P,,,J1772
Plano,TX,75074,E,Public,Blink Network,33.021847,-96.697517,62364,,,,J1772
Columbus,IN,47201,E,Private,,39.183267,-85.8947,53724,P,,,J1772
Lexington,KY,40504,E,Public,,38.0356043,-84.5254227,60195,LG,,,J1772
Pittsfield,MA,1201,E,Public,ChargePoint Network,42.4641667,-73.2058333,70936,,,,J1772
Marietta,GA,30060,E,Public - Call ahead,,33.9298795,-84.5086792,39990,P,,,J1772
Worcester,MA,1609,E,Public,ChargePoint Network,42.2752455,-71.810307,67120,,,,J1772
Christianburg,VA,24073,E,Public,Tesla,37.162471,-80.427306,69909,P,,,TESLA J1772
Jensen,UT,84035,E,Private,,40.438174,-109.307043,68565,FG,16,Department of the Interior,J1772
Rockville,MD,20850,E,Private,Blink Network,39.112689,-77.185113,48399,,,,J1772
Beverly,MA,1915,E,Public - Call ahead,,42.560051,-70.884297,45876,P,,,J1772
Orlando,FL,32811,E,Public,ChargePoint Network,28.5280247,-81.4475861,37161,,,,NEMA520 J1772
Aventura,FL,33180,E,Public,SemaCharge Network,25.949131,-80.1354575,62476,,,,J1772
Overland Park,KS,66213,E,Public,ChargePoint Network,38.9003728,-94.7248983,72048,,,,J1772
Boston,MA,2118,E,Public,ChargePoint Network,42.3378771,-71.0747174,65021,,,,NEMA520 J1772
San Clemente,CA,92673,E,Public - Card key at all times,eVgo Network,33.45898056,-117.6520691,74714,,,,J1772COMBO
Richmond,VA,23219,E,Public,Greenlots,37.534264,-77.4293809,63346,LG,,,CHADEMO J1772COMBO J1772 TESLA
Las Vegas,NV,89109,E,Public,,36.132778,-115.155278,62447,P,,,J1772
Los Angeles,CA,90035,E,Public,Blink Network,34.049144,-118.412694,48359,,,,J1772
Healdsburg,CA,95448,E,Public,ChargePoint Network,38.6259463,-122.8767151,66611,,,,J1772
Leadville,CO,80461,E,Public,,39.2401051,-106.3024776,62050,P,,,J1772
Scottsdale,AZ,85254,E,Public,Blink Network,33.625432,-111.932871,45278,,,,J1772
Milpitas,CA,95035,E,Private,,37.420584,-121.9259403,66998,P,,,J1772
Chattanooga,TN,37409,E,Public,Blink Network,35.018887,-85.339767,41474,,,,J1772
Boise,ID,83709,P,PLANNED - not yet accessible (Private),,43.606094,-116.3181258,73311,T,,,J1772
Boise,ID,83702,E,Public,,43.6184226,-116.1955915,64398,P,,,J1772
Milford,OH,45150,E,Public - Card key at all times,eVgo Network,39.15868759,-84.2792511,74570,,,,CHADEMO
Chesapeake,VA,23321,E,Private,,36.8650124,-76.4181516,47548,P,,,J1772
Vancouver,WA,98662,E,Public,Blink Network,45.684223,-122.554962,68588,,,,J1772
Tualatin,OR,97062,E,Private,,45.375865,-122.75821,52589,T,,,J1772
Berwyn,IL,60402,E,Public,ChargePoint Network,41.831528,-87.794338,41530,,,,J1772
New York,NY,10016,E,Public,ChargePoint Network,40.741368,-73.975668,56142,,,,NEMA520 J1772
Alpharetta,GA,30004,E,Public,ChargePoint Network,34.070161,-84.2752472,64041,,,,J1772
Davis,CA,95616,E,Public,,38.5344111,-121.7600026,53373,P,,,J1772
Norfolk,VA,23510,E,Public,Greenlots,36.8521468,-76.2861968,63350,P,,,CHADEMO J1772COMBO
Richmond,VA,23298,E,Private,,37.543387,-77.42953,39575,SG,,,J1772
